SAHAM,MARKET PRICE,,,
RELI,490,,IDX:,IDX:RELI
RICY,80,,IDX:,IDX:RICY
RIGS,22.74,,IDX:,IDX:RIGS
RIMO,50,,IDX:,IDX:RIMO
RODA,50,,IDX:,IDX:RODA
ROTI,620,,IDX:,IDX:ROTI
RUIS,180,,IDX:,IDX:RUIS
SAFE,16.44,,IDX:,IDX:SAFE
SAME,394,,IDX:,IDX:SAME
SCCO,171.26,,IDX:,IDX:SCCO
SCMA,204,,IDX:,IDX:SCMA
SCPI,0,,IDX:,IDX:SCPI
SDMU,84,,IDX:,IDX:SDMU
SDPC,180,,IDX:,IDX:SDPC
SDRA,208,,IDX:,IDX:SDRA
SGRO,0.05,,IDX:,IDX:SGRO
SHID,580,,IDX:,IDX:SHID
SIDO,378,,IDX:,IDX:SIDO
SILO,6.05,,IDX:,IDX:SILO
SIMA,10.89,,IDX:,IDX:SIMA
SIMP,550,,IDX:,IDX:SIMP
SIPD,710,,IDX:,IDX:SIPD
SKBM,466,,IDX:,IDX:SKBM
SKLT,181,,IDX:,IDX:SKLT
SKYB,51,,IDX:,IDX:SKYB
SMAR,4750,,IDX:,IDX:SMAR
SMBR,147,,IDX:,IDX:SMBR
SMCB,775,,IDX:,IDX:SMCB
SMDM,575,,IDX:,IDX:SMDM
SMDR,288,,IDX:,IDX:SMDR
SMGR,1490,,IDX:,IDX:SMGR
SMMA,20950,,IDX:,IDX:SMMA
SMMT,14.01,,IDX:,IDX:SMMT
SMRA,274,,IDX:,IDX:SMRA
SMRU,50,,IDX:,IDX:SMRU
SMSM,1605,,IDX:,IDX:SMSM
SOCI,310,,IDX:,IDX:SOCI
SONA,0.32,,IDX:,IDX:SONA
SPMA,25.04,,IDX:,IDX:SPMA
SQMI,36,,IDX:,IDX:SQMI
SRAJ,11000,,IDX:,IDX:SRAJ
SRIL,13.59,,IDX:,IDX:SRIL
SRSN,0,,IDX:,IDX:SRSN
SRTG,1480,,IDX:,IDX:SRTG
SSIA,1490,,IDX:,IDX:SSIA
SSMS,715,,IDX:,IDX:SSMS
SSTM,378,,IDX:,IDX:SSTM
STAR,0.11,,IDX:,IDX:STAR
STTP,9975,,IDX:,IDX:STTP
SUGI,50,,IDX:,IDX:SUGI
SULI,76,,IDX:,IDX:SULI
SUPR,87.28,,IDX:,IDX:SUPR
TALF,630,,IDX:,IDX:TALF
TARA,4.12,,IDX:,IDX:TARA
TAXI,51.35,,IDX:,IDX:TAXI
TBIG,1430,,IDX:,IDX:TBIG
TBLA,4.76,,IDX:,IDX:TBLA
TBMS,1205,,IDX:,IDX:TBMS
TCID,0.11,,IDX:,IDX:TCID
TELE,73.4,,IDX:,IDX:TELE
TFCO,585,,IDX:,IDX:TFCO
TGKA,4890,,IDX:,IDX:TGKA
TIFA,234,,IDX:,IDX:TIFA
TINS,29.06,,IDX:,IDX:TINS
TIRA,630,,IDX:,IDX:TIRA
TIRT,635,,IDX:,IDX:TIRT
TKIM,5550,,IDX:,IDX:TKIM
TLKM,2420,,IDX:,IDX:TLKM
TMAS,0.09,,IDX:,IDX:TMAS
TMPO,104,,IDX:,IDX:TMPO
TOBA,368,,IDX:,IDX:TOBA
TOTL,39.52,,IDX:,IDX:TOTL
TOTO,234,,IDX:,IDX:TOTO
TOWR,366,,IDX:,IDX:TOWR
TPIA,1730,,IDX:,IDX:TPIA
TPMA,422,,IDX:,IDX:TPMA
TRAM,50,,IDX:,IDX:TRAM
TRIL,50,,IDX:,IDX:TRIL
TRIM,540,,IDX:,IDX:TRIM
TRIO,26.8,,IDX:,IDX:TRIO
TRIS,3066,,IDX:,IDX:TRIS
TRST,54.66,,IDX:,IDX:TRST
TRUS,416,,IDX:,IDX:TRUS
TSPC,2490,,IDX:,IDX:TSPC
ULTJ,1330,,IDX:,IDX:ULTJ
UNIC,21.52,,IDX:,IDX:UNIC
UNIT,11.07,,IDX:,IDX:UNIT
UNSP,200,,IDX:,IDX:UNSP
UNTR,22600,,IDX:,IDX:UNTR
UNVR,1770,,IDX:,IDX:UNVR
VICO,135,,IDX:,IDX:VICO
VINS,0.08,,IDX:,IDX:VINS
VIVA,30,,IDX:,IDX:VIVA
VOKS,199,,IDX:,IDX:VOKS
VRNA,72,,IDX:,IDX:VRNA
WAPO,109,,IDX:,IDX:WAPO
WEHA,98,,IDX:,IDX:WEHA
WICO,123,,IDX:,IDX:WICO
WIIM,1650,,IDX:,IDX:WIIM
WIKA,204,,IDX:,IDX:WIKA
WINS,0.12,,IDX:,IDX:WINS
WOMF,250,,IDX:,IDX:WOMF
WSKT,202,,IDX:,IDX:WSKT
WTON,70,,IDX:,IDX:WTON
YPAS,620,,IDX:,IDX:YPAS
YULE,3420,,IDX:,IDX:YULE
ZBRA,251.53,,IDX:,IDX:ZBRA
SHIP,14.16,,IDX:,IDX:SHIP
CASA,0.08,,IDX:,IDX:CASA
DAYA,1050,,IDX:,IDX:DAYA
DPUM,20.96,,IDX:,IDX:DPUM
IDPR,300,,IDX:,IDX:IDPR
JGLE,24.96,,IDX:,IDX:JGLE
KINO,1105,,IDX:,IDX:KINO
MARI,7.35,,IDX:,IDX:MARI
MKNT,1,,IDX:,IDX:MKNT
MTRA,26.87,,IDX:,IDX:MTRA
OASA,248,,IDX:,IDX:OASA
POWR,27.56,,IDX:,IDX:POWR
INCF,50,,IDX:,IDX:INCF
WSBP,14,,IDX:,IDX:WSBP
PBSA,760,,IDX:,IDX:PBSA
PRDA,2490,,IDX:,IDX:PRDA
BOGA,1500,,IDX:,IDX:BOGA
BRIS,1705,,IDX:,IDX:BRIS
PORT,#N/A,,IDX:,IDX:PORT
CARS,10.75,,IDX:,IDX:CARS
MINA,0,,IDX:,IDX:MINA
CLEO,0,,IDX:,IDX:CLEO
TAMU,17,,IDX:,IDX:TAMU
CSIS,151,,IDX:,IDX:CSIS
TGRA,27,,IDX:,IDX:TGRA
FIRE,11.51,,IDX:,IDX:FIRE
TOPS,0.83,,IDX:,IDX:TOPS
KMTR,220,,IDX:,IDX:KMTR
ARMY,22.68,,IDX:,IDX:ARMY
MAPB,980,,IDX:,IDX:MAPB
WOOD,66.69,,IDX:,IDX:WOOD
HRTA,1750,,IDX:,IDX:HRTA
MABA,50,,IDX:,IDX:MABA
HOKI,54,,IDX:,IDX:HOKI
MPOW,91,,IDX:,IDX:MPOW
MARK,0,,IDX:,IDX:MARK
NASA,26.58,,IDX:,IDX:NASA
MDKI,180,,IDX:,IDX:MDKI
BELL,3.14,,IDX:,IDX:BELL
KIOS,83,,IDX:,IDX:KIOS
GMFI,52,,IDX:,IDX:GMFI
MTWI,270,,IDX:,IDX:MTWI
ZINC,25.86,,IDX:,IDX:ZINC
MCAS,163,,IDX:,IDX:MCAS
PPRE,99,,IDX:,IDX:PPRE
WEGE,50,,IDX:,IDX:WEGE
PSSI,282,,IDX:,IDX:PSSI
MORA,7425,,IDX:,IDX:MORA
DWGL,220,,IDX:,IDX:DWGL
PBID,468,,IDX:,IDX:PBID
JMAS,228,,IDX:,IDX:JMAS
CAMP,4.2,,IDX:,IDX:CAMP
IPCM,328,,IDX:,IDX:IPCM
PCAR,120.68,,IDX:,IDX:PCAR
LCKM,104,,IDX:,IDX:LCKM
BOSS,37.62,,IDX:,IDX:BOSS
HELI,0.03,,IDX:,IDX:HELI
JSKY,52,,IDX:,IDX:JSKY
INPS,625,,IDX:,IDX:INPS
GHON,1590,,IDX:,IDX:GHON
TDPM,119,,IDX:,IDX:TDPM
DFAM,81,,IDX:,IDX:DFAM
NICK,990,,IDX:,IDX:NICK
BTPS,970,,IDX:,IDX:BTPS
SPTO,555,,IDX:,IDX:SPTO
PRIM,93.11,,IDX:,IDX:PRIM
HEAL,27.4,,IDX:,IDX:HEAL
TRUK,390,,IDX:,IDX:TRUK
PZZA,36.79,,IDX:,IDX:PZZA
TUGU,1175,,IDX:,IDX:TUGU
MSIN,500,,IDX:,IDX:MSIN
SWAT,16,,IDX:,IDX:SWAT
TNCA,135,,IDX:,IDX:TNCA
MAPA,620,,IDX:,IDX:MAPA
TCPI,7250,,IDX:,IDX:TCPI
IPCC,1115,,IDX:,IDX:IPCC
RISE,18.05,,IDX:,IDX:RISE
BPTR,66,,IDX:,IDX:BPTR
POLL,290,,IDX:,IDX:POLL
NFCX,1680,,IDX:,IDX:NFCX
MGRO,0.41,,IDX:,IDX:MGRO
NUSA,23.2,,IDX:,IDX:NUSA
FILM,1635,,IDX:,IDX:FILM
ANDI,0,,IDX:,IDX:ANDI
LAND,8.61,,IDX:,IDX:LAND
MOLI,2655,,IDX:,IDX:MOLI
PANI,6100,,IDX:,IDX:PANI
DIGI,0,,IDX:,IDX:DIGI
CITY,10.48,,IDX:,IDX:CITY
SAPX,0,,IDX:,IDX:SAPX
SURE,146.06,,IDX:,IDX:SURE
HKMU,50,,IDX:,IDX:HKMU
MPRO,32.68,,IDX:,IDX:MPRO
DUCK,176,,IDX:,IDX:DUCK
GOOD,12.49,,IDX:,IDX:GOOD
SKRN,344,,IDX:,IDX:SKRN
YELO,67,,IDX:,IDX:YELO
CAKK,136,,IDX:,IDX:CAKK
SATU,278,,IDX:,IDX:SATU
SOSS,715,,IDX:,IDX:SOSS
DEAL,0.01,,IDX:,IDX:DEAL
POLA,1.67,,IDX:,IDX:POLA
DIVA,#N/A,,IDX:,IDX:DIVA
LUCK,7.89,,IDX:,IDX:LUCK
URBN,73.54,,IDX:,IDX:URBN
SOTS,570,,IDX:,IDX:SOTS
ZONE,0.75,,IDX:,IDX:ZONE
PEHA,250,,IDX:,IDX:PEHA
FOOD,3.88,,IDX:,IDX:FOOD
BEEF,131,,IDX:,IDX:BEEF
POLI,680,,IDX:,IDX:POLI
CLAY,2650,,IDX:,IDX:CLAY
NATO,39.81,,IDX:,IDX:NATO
JAYA,120,,IDX:,IDX:JAYA
COCO,73.71,,IDX:,IDX:COCO
MTPS,81,,IDX:,IDX:MTPS
CPRI,19.38,,IDX:,IDX:CPRI
HRME,43,,IDX:,IDX:HRME
POSA,50,,IDX:,IDX:POSA
JAST,76,,IDX:,IDX:JAST
FITT,398,,IDX:,IDX:FITT
BOLA,153,,IDX:,IDX:BOLA
CCSI,36.72,,IDX:,IDX:CCSI
SFAN,1970,,IDX:,IDX:SFAN
POLU,12525,,IDX:,IDX:POLU
KJEN,105,,IDX:,IDX:KJEN
KAYU,18,,IDX:,IDX:KAYU
ITIC,274.24,,IDX:,IDX:ITIC
PAMG,51,,IDX:,IDX:PAMG
IPTV,36,,IDX:,IDX:IPTV
BLUE,18.36,,IDX:,IDX:BLUE
ENVY,50,,IDX:,IDX:ENVY
EAST,49.08,,IDX:,IDX:EAST
LIFE,19.58,,IDX:,IDX:LIFE
FUJI,12.11,,IDX:,IDX:FUJI
KOTA,89,,IDX:,IDX:KOTA
INOV,36.43,,IDX:,IDX:INOV
ARKA,22,,IDX:,IDX:ARKA
SMKL,144,,IDX:,IDX:SMKL
HDIT,50,,IDX:,IDX:HDIT
KEEN,820,,IDX:,IDX:KEEN
BAPI,16,,IDX:,IDX:BAPI
TFAS,197,,IDX:,IDX:TFAS
GGRP,0.76,,IDX:,IDX:GGRP
OPMS,87,,IDX:,IDX:OPMS
NZIA,143,,IDX:,IDX:NZIA
SLIS,57,,IDX:,IDX:SLIS
PURE,0.07,,IDX:,IDX:PURE
IRRA,370,,IDX:,IDX:IRRA
DMMX,166,,IDX:,IDX:DMMX
